,id,session_id,date,object,action,strValue,unit_id,user_detail_id,intValue,just_date
28779,30077,667750532,2017-05-15 13:20:30.921721,2,204,nm177719,4.0,69,,2017-05-15
28780,30078,667750532,2017-05-15 13:20:31.282485,2,301,nm177719,4.0,69,,2017-05-15
28781,30079,667750532,2017-05-15 13:20:31.283033,3,302,nm177719,4.0,69,,2017-05-15
28782,30080,667750532,2017-05-15 13:20:32.643076,3,0,nm177719,4.0,69,,2017-05-15
28783,30081,667750532,2017-05-15 13:20:34.850452,0,101,,4.0,69,,2017-05-15
28784,30082,2658318468,2017-05-15 13:20:50.920862,1,201,nm177719,4.0,69,,2017-05-15
28785,30083,2658318468,2017-05-15 13:20:51.234734,1,203,nm177719,4.0,69,,2017-05-15
28786,30084,2658318468,2017-05-15 13:20:51.235246,2,204,nm177719,4.0,69,,2017-05-15
28787,30085,2658318468,2017-05-15 13:20:51.320251,2,301,nm177719,4.0,69,,2017-05-15
28788,30086,2658318468,2017-05-15 13:20:51.320807,3,302,nm177719,4.0,69,,2017-05-15
28789,30087,2658318468,2017-05-15 13:20:51.346029,3,303,nm177719,4.0,69,,2017-05-15
28790,30088,2658318468,2017-05-15 13:20:51.346859,1,204,nm177719,4.0,69,,2017-05-15
28791,30089,2658318468,2017-05-15 13:20:51.426706,1,205,nm177719,4.0,69,,2017-05-15
28792,30090,2658318468,2017-05-15 13:20:53.224658,4,401,,4.0,69,4.0,2017-05-15
28793,30091,2658318468,2017-05-15 13:20:54.850459,0,101,,4.0,69,,2017-05-15
28794,30092,3547602005,2017-05-15 13:21:14.326497,6,502,,3.0,67,,2017-05-15
28795,30093,2658318468,2017-05-15 13:21:12.456922,6,502,,4.0,69,,2017-05-15
28796,30094,3547602005,2017-05-15 13:21:27.917708,5,206,nm177724,3.0,67,,2017-05-15
28882,30180,2658318468,2017-05-15 13:33:25.183966,6,602,37e2ca907b6b9c2fb5202767c096a73b6c18c5d9,4.0,69,,2017-05-15
28883,30181,2658318468,2017-05-15 13:33:28.185062,7,702,01,4.0,69,,2017-05-15
28884,30182,2658318468,2017-05-15 13:38:44.958502,6,502,,4.0,69,,2017-05-15
28946,30244,2658318468,2017-05-15 13:42:24.632824,6,602,d5e34da1326315a73a19a749e15f32434f09bce5,4.0,69,,2017-05-15
28947,30245,2658318468,2017-05-15 13:42:27.271551,7,702,08,4.0,69,,2017-05-15
28958,30256,2658318468,2017-05-15 13:42:35.476868,7,701,,4.0,69,,2017-05-15
28959,30257,2658318468,2017-05-15 13:42:37.034712,7,702,07,4.0,69,,2017-05-15
28960,30258,2658318468,2017-05-15 13:42:37.211486,7,702,06,4.0,69,,2017-05-15
28961,30259,2658318468,2017-05-15 13:42:42.628722,7,701,,4.0,69,,2017-05-15
28962,30260,2658318468,2017-05-15 13:42:43.531987,7,701,,4.0,69,,2017-05-15
28963,30261,2658318468,2017-05-15 13:43:20.015482,7,702,03,4.0,69,,2017-05-15
28964,30262,2658318468,2017-05-15 13:43:22.251050,7,701,,4.0,69,,2017-05-15
28965,30263,2658318468,2017-05-15 13:43:28.916638,7,702,10,4.0,69,,2017-05-15
28966,30264,2658318468,2017-05-15 13:43:59.355056,7,701,,4.0,69,,2017-05-15
28967,30265,2658318468,2017-05-15 13:44:03.940129,7,701,,4.0,69,,2017-05-15
28968,30266,2658318468,2017-05-15 13:44:14.023964,6,502,,4.0,69,,2017-05-15
28969,30267,2658318468,2017-05-15 13:44:15.015326,6,602,d5e34da1326315a73a19a749e15f32434f09bce5,4.0,69,,2017-05-15
28970,30268,2658318468,2017-05-15 13:44:17.078356,6,502,,4.0,69,,2017-05-15
28983,30281,2658318468,2017-05-15 13:46:40.330452,6,602,d5e34da1326315a73a19a749e15f32434f09bce5,4.0,69,,2017-05-15
28984,30282,2658318468,2017-05-15 13:46:43.351043,7,702,08,4.0,69,,2017-05-15
28985,30283,2658318468,2017-05-15 13:46:45.664610,6,502,,4.0,69,,2017-05-15
28986,30284,2658318468,2017-05-15 13:46:46.570393,6,602,d5e34da1326315a73a19a749e15f32434f09bce5,4.0,69,,2017-05-15
28987,30285,2658318468,2017-05-15 13:46:48.464830,7,702,07,4.0,69,,2017-05-15
28988,30286,2658318468,2017-05-15 13:46:50.687891,7,702,06,4.0,69,,2017-05-15
28989,30287,2658318468,2017-05-15 13:46:50.832068,7,702,08,4.0,69,,2017-05-15
28990,30288,2658318468,2017-05-15 13:46:51.493712,7,702,03,4.0,69,,2017-05-15
28991,30289,2658318468,2017-05-15 13:46:56.139698,6,502,,4.0,69,,2017-05-15
28992,30290,2658318468,2017-05-15 13:46:57.786699,6,602,d5e34da1326315a73a19a749e15f32434f09bce5,4.0,69,,2017-05-15
28993,30291,2658318468,2017-05-15 13:46:59.737121,7,702,03,4.0,69,,2017-05-15
28994,30292,2658318468,2017-05-15 13:47:04.564027,7,701,,4.0,69,,2017-05-15
28995,30293,2658318468,2017-05-15 13:47:05.472080,7,702,08,4.0,69,,2017-05-15
28996,30294,2658318468,2017-05-15 13:47:05.615947,7,702,06,4.0,69,,2017-05-15
28997,30295,2658318468,2017-05-15 13:47:06.629723,7,702,07,4.0,69,,2017-05-15
28998,30296,2658318468,2017-05-15 13:47:12.213286,7,702,08,4.0,69,,2017-05-15
28999,30297,2658318468,2017-05-15 13:47:13.975744,7,702,03,4.0,69,,2017-05-15
29000,30298,2658318468,2017-05-15 13:47:19.562858,6,502,,4.0,69,,2017-05-15
29001,30299,2658318468,2017-05-15 13:47:22.790581,6,602,d5e34da1326315a73a19a749e15f32434f09bce5,4.0,69,,2017-05-15
29002,30300,2658318468,2017-05-15 13:47:24.980161,7,702,06,4.0,69,,2017-05-15
29003,30301,2658318468,2017-05-15 13:47:26.593993,7,702,03,4.0,69,,2017-05-15
29004,30302,2658318468,2017-05-15 13:47:26.850277,7,702,07,4.0,69,,2017-05-15
29023,30321,2658318468,2017-05-15 13:47:33.569747,7,701,,4.0,69,,2017-05-15
29024,30322,2658318468,2017-05-15 13:47:35.277157,6,502,,4.0,69,,2017-05-15
29025,30323,2658318468,2017-05-15 13:55:35.737065,6,502,,4.0,69,,2017-05-15
29026,30324,2658318468,2017-05-15 13:55:36.438205,6,602,37e2ca907b6b9c2fb5202767c096a73b6c18c5d9,4.0,69,,2017-05-15
29027,30325,2658318468,2017-05-15 13:55:39.544941,7,702,01,4.0,69,,2017-05-15
29028,30326,2658318468,2017-05-15 13:56:08.142641,7,702,03,4.0,69,,2017-05-15
29029,30327,2658318468,2017-05-15 13:56:08.282379,7,702,07,4.0,69,,2017-05-15
29030,30328,2658318468,2017-05-15 13:56:10.269379,7,701,,4.0,69,,2017-05-15
29031,30329,2658318468,2017-05-15 13:56:12.168705,7,701,,4.0,69,,2017-05-15
29032,30330,2658318468,2017-05-15 13:56:13.302160,7,701,,4.0,69,,2017-05-15
29033,30331,2658318468,2017-05-15 13:57:23.299093,7,701,,4.0,69,,2017-05-15
29034,30332,2658318468,2017-05-15 13:57:27.006236,7,702,06,4.0,69,,2017-05-15
29035,30333,2658318468,2017-05-15 13:57:29.913921,7,701,,4.0,69,,2017-05-15
29036,30334,2658318468,2017-05-15 13:57:31.879925,7,701,,4.0,69,,2017-05-15
29037,30335,2658318468,2017-05-15 13:57:37.782788,7,701,,4.0,69,,2017-05-15
29038,30336,2658318468,2017-05-15 13:57:38.858659,7,702,08,4.0,69,,2017-05-15
29115,30413,2658318468,2017-05-15 13:57:44.349611,7,701,,4.0,69,,2017-05-15
29116,30414,2658318468,2017-05-15 13:57:47.016225,7,701,,4.0,69,,2017-05-15
29117,30415,2658318468,2017-05-15 13:57:50.015945,6,502,,4.0,69,,2017-05-15
29118,30416,2658318468,2017-05-15 14:20:16.549978,6,602,2265516f326cf9ea002bfd4a21dc122a63e0e380,4.0,69,,2017-05-15
29119,30417,2658318468,2017-05-15 14:20:19.074910,7,702,03,4.0,69,,2017-05-15
29120,30418,2658318468,2017-05-15 14:20:24.223252,7,701,,4.0,69,,2017-05-15
29121,30419,2658318468,2017-05-15 14:20:30.710571,7,701,,4.0,69,,2017-05-15
29122,30420,2658318468,2017-05-15 14:20:32.424398,7,701,,4.0,69,,2017-05-15
29123,30421,2658318468,2017-05-15 14:20:36.558510,7,701,,4.0,69,,2017-05-15
29124,30422,2658318468,2017-05-15 14:20:37.816693,7,702,07,4.0,69,,2017-05-15
29125,30423,2658318468,2017-05-15 14:20:38.009152,7,702,06,4.0,69,,2017-05-15
29126,30424,2658318468,2017-05-15 14:22:07.921303,7,701,,4.0,69,,2017-05-15
29127,30425,2658318468,2017-05-15 14:22:09.139778,7,701,,4.0,69,,2017-05-15
29128,30426,2658318468,2017-05-15 14:22:11.287520,7,701,,4.0,69,,2017-05-15
29129,30427,2658318468,2017-05-15 14:22:12.314481,7,702,08,4.0,69,,2017-05-15
29130,30428,2658318468,2017-05-15 14:22:20.188553,7,701,,4.0,69,,2017-05-15
29143,30441,172184393,2017-05-15 14:33:11.379938,1,201,nm177724,,67,,2017-05-15
29144,30442,172184393,2017-05-15 14:33:11.554831,1,203,nm177724,,67,,2017-05-15
29145,30443,172184393,2017-05-15 14:33:11.555604,2,204,nm177724,,67,,2017-05-15
29146,30444,172184393,2017-05-15 14:33:11.594374,2,301,nm177724,,67,,2017-05-15
29147,30445,172184393,2017-05-15 14:33:11.594924,3,302,nm177724,,67,,2017-05-15
29148,30446,172184393,2017-05-15 14:33:11.620179,3,303,nm177724,,67,,2017-05-15
29149,30447,172184393,2017-05-15 14:33:11.621114,1,204,nm177724,,67,,2017-05-15
29150,30448,172184393,2017-05-15 14:33:11.692452,1,205,nm177724,,67,,2017-05-15
29151,30449,172184393,2017-05-15 14:33:11.876728,0,101,,,67,,2017-05-15
29152,30450,172184393,2017-05-15 14:33:15.901162,4,401,,3.0,67,3.0,2017-05-15
29153,30451,172184393,2017-05-15 14:33:22.119301,6,502,,3.0,67,,2017-05-15
29154,30452,172184393,2017-05-15 14:33:32.844021,6,602,098d477fde14ee3ee30c9f363d5ac06f85c3ca51,3.0,67,,2017-05-15
29155,30453,172184393,2017-05-15 14:33:34.906072,7,702,03,3.0,67,,2017-05-15
29165,30463,2658318468,2017-05-15 14:22:50.726187,7,701,,4.0,69,,2017-05-15
29166,30464,2658318468,2017-05-15 14:22:53.700733,6,502,,4.0,69,,2017-05-15
29167,30465,2658318468,2017-05-15 14:33:57.583932,6,602,7a2306cbdeb6c8d6087279f0df15bbfdb3df0218,4.0,69,,2017-05-15
29195,30493,2658318468,2017-05-15 14:33:59.899133,7,702,01,4.0,69,,2017-05-15
29196,30494,2658318468,2017-05-15 14:53:23.284923,7,701,,4.0,69,,2017-05-15
29197,30495,2658318468,2017-05-15 14:53:34.668694,7,701,,4.0,69,,2017-05-15
29198,30496,2658318468,2017-05-15 14:53:57.322070,7,701,,4.0,69,,2017-05-15
29199,30497,2658318468,2017-05-15 14:54:00.355035,7,701,,4.0,69,,2017-05-15
29200,30498,2658318468,2017-05-15 14:54:01.284963,7,702,03,4.0,69,,2017-05-15
29201,30499,2658318468,2017-05-15 14:54:01.555606,7,702,08,4.0,69,,2017-05-15
29202,30500,2658318468,2017-05-15 14:54:04.058434,7,701,,4.0,69,,2017-05-15
29203,30501,2658318468,2017-05-15 14:54:05.924973,7,701,,4.0,69,,2017-05-15
29204,30502,2658318468,2017-05-15 14:54:06.522709,7,701,,4.0,69,,2017-05-15
29205,30503,2658318468,2017-05-15 14:54:08.874043,7,701,,4.0,69,,2017-05-15
29206,30504,2658318468,2017-05-15 14:54:09.783977,7,702,06,4.0,69,,2017-05-15
29207,30505,2658318468,2017-05-15 14:54:15.973847,7,701,,4.0,69,,2017-05-15
29208,30506,2658318468,2017-05-15 14:54:16.890125,7,702,07,4.0,69,,2017-05-15
29209,30507,2658318468,2017-05-15 14:54:30.778776,7,701,,4.0,69,,2017-05-15
29210,30508,2658318468,2017-05-15 14:54:52.931292,7,701,,4.0,69,,2017-05-15
29211,30509,2658318468,2017-05-15 14:54:54.031689,7,701,,4.0,69,,2017-05-15
29212,30510,2658318468,2017-05-15 14:54:57.346475,7,701,,4.0,69,,2017-05-15
29213,30511,2658318468,2017-05-15 14:55:00.276064,6,502,,4.0,69,,2017-05-15
29214,30512,2658318468,2017-05-15 15:01:50.519838,6,602,72b3d9443f20401fe3ff6980ace3ca9fe63e161b,4.0,69,,2017-05-15
29215,30513,2658318468,2017-05-15 15:01:52.643767,7,702,08,4.0,69,,2017-05-15
29216,30514,2658318468,2017-05-15 15:02:05.638945,7,701,,4.0,69,,2017-05-15
29217,30515,2658318468,2017-05-15 15:02:08.330153,7,702,06,4.0,69,,2017-05-15
29218,30516,2658318468,2017-05-15 15:02:08.492168,7,702,03,4.0,69,,2017-05-15
29219,30517,2658318468,2017-05-15 15:02:13.924515,7,701,,4.0,69,,2017-05-15
29220,30518,2658318468,2017-05-15 15:02:14.999141,7,702,07,4.0,69,,2017-05-15
29221,30519,2658318468,2017-05-15 15:02:27.712052,7,701,,4.0,69,,2017-05-15
